lis1,lis2,lis3,lis4,lis5,lis6,lis7
2,3,4,8,11,14,15
2,3,4,8,14,15,16
1,2,3,4,8,10,14
1,2,3,4,8,14,15
1,2,3,4,9,11,15
1,2,3,4,9,11,16
1,2,3,4,9,15,16
1,2,3,8,10,11,14
1,2,3,8,10,11,15
1,2,3,8,10,14,16
1,2,3,8,10,15,19
1,2,3,8,10,15,20
1,2,3,9,11,15,16
2,3,4,8,10,14,16
2,3,4,8,10,15,20
2,3,4,9,15,16,19
2,3,8,10,11,14,16
2,3,9,11,15,16,19
1,2,3,4,11,15,16
1,2,3,8,10,15,16
1,2,3,10,11,14,15
1,2,3,10,14,15,20
1,2,4,9,11,15,16
1,2,9,10,14,16,19
1,2,9,10,14,16,20
1,2,9,10,14,19,20
1,2,9,10,16,19,20
1,2,9,14,16,19,20
2,3,4,8,9,11,15
2,3,4,8,9,11,16
2,3,4,8,9,15,16
2,3,4,8,10,15,16
2,3,4,8,14,15,20
2,3,4,9,14,15,16
2,3,8,9,11,15,16
2,3,8,10,11,12,14
2,3,8,10,11,12,15
2,3,8,10,11,15,19
2,3,8,10,11,15,20
2,3,10,11,12,14,15
2,3,10,11,14,15,20
2,9,10,14,16,17,19
2,9,10,14,16,17,20
2,9,10,14,16,20,24
2,9,14,16,17,19,20
1,2,3,4,5,8,10
1,2,3,4,5,8,11
1,2,3,4,8,9,14
1,2,3,4,8,10,16
1,2,3,8,10,11,16
1,2,3,9,15,16,20
1,2,3,4,5,6,8
1,2,3,4,5,6,9
1,2,3,4,5,6,10
1,2,3,4,5,8,9
1,2,3,4,5,8,12
1,2,3,4,5,8,14
1,2,3,4,5,9,10
1,2,3,4,5,9,12
1,2,3,4,5,9,14
1,2,3,4,5,9,15
1,2,3,4,5,10,12
1,2,3,4,5,11,17
1,2,3,4,8,9,10
1,2,3,4,8,9,11
1,2,3,4,8,9,15
1,2,3,4,8,10,11
1,2,3,4,8,11,12
1,2,3,4,8,11,14
1,2,3,4,8,11,16
1,2,3,4,8,11,17
1,2,3,4,8,14,19
1,2,3,4,9,10,16
1,2,3,4,9,11,12
1,2,3,4,9,11,14
1,2,3,4,9,11,17
1,2,3,4,9,14,19
1,2,3,4,9,15,20
1,2,3,4,10,11,16
1,2,3,4,10,15,20
1,2,3,4,10,16,17
1,2,3,4,10,16,20
1,2,3,4,10,16,21
1,2,3,4,11,12,17
1,2,3,4,11,16,17
1,2,3,5,8,10,11
1,2,3,5,10,11,12
1,2,3,5,10,11,16
1,2,3,8,9,10,14
1,2,3,8,9,10,15
1,2,3,8,9,15,16
1,2,3,8,9,15,19
1,2,3,8,9,15,20
1,2,3,8,10,11,17
1,2,3,8,10,16,17
1,2,3,8,10,16,20
1,2,3,9,10,11,15
1,2,3,9,10,11,16
1,2,3,9,10,15,19
1,2,3,9,10,15,20
1,2,3,9,14,15,19
1,2,3,9,14,19,20
1,2,3,9,15,16,17
1,2,3,9,15,16,19
1,2,3,9,15,16,21
1,2,3,9,15,19,23
1,2,3,9,15,20,21
1,2,3,9,15,20,23
1,2,3,9,15,20,24
1,2,3,10,11,12,16
1,2,3,10,11,12,17
1,2,3,10,11,16,20
1,2,3,10,11,16,21
1,2,3,10,15,16,19
1,2,3,10,15,19,20
1,2,3,10,16,17,21
1,2,4,5,9,10,15
1,2,4,9,10,11,14
1,2,4,9,10,15,20
1,2,5,9,10,11,15
1,2,8,9,10,11,15
1,2,8,9,10,11,16
1,2,9,10,11,12,15
1,2,9,10,11,12,16
1,2,9,10,11,12,17
1,2,9,10,11,14,16
1,2,9,10,11,15,16
1,2,9,10,11,15,17
1,2,9,10,11,15,19
1,2,9,10,11,15,20
1,2,9,10,11,16,20
1,2,9,10,11,16,21
1,2,9,10,15,16,20
1,2,9,10,15,20,21
1,2,9,10,15,20,23
1,2,9,10,15,20,24
1,2,9,10,16,17,21
1,2,9,11,14,15,16
1,2,9,11,15,16,20
1,2,9,14,15,20,23
1,2,9,15,16,17,20
1,2,9,15,16,17,21
1,2,9,15,16,20,24
1,2,9,15,20,21,24
2,3,4,5,8,11,17
2,3,4,8,9,11,14
2,3,4,8,10,16,20
2,3,4,8,10,16,21
2,3,4,8,11,12,17
2,3,4,9,10,14,16
2,3,4,9,11,12,14
2,3,4,9,14,19,20
2,3,8,9,15,16,20
2,3,8,10,11,12,16
2,3,8,10,11,12,17
2,3,8,10,11,16,21
2,3,8,10,16,17,21
2,3,9,10,11,14,16
2,3,9,10,11,15,19
2,3,9,14,15,16,20
2,3,9,14,19,20,24
2,3,9,15,16,17,19
2,3,9,15,20,21,23
2,3,10,11,15,19,20
2,3,10,15,16,17,19
2,4,8,9,10,16,21
2,4,9,10,11,12,14
2,8,9,10,16,17,20
2,9,10,11,12,15,19
2,9,10,11,14,16,21
1,2,3,4,5,6,7
1,2,3,4,5,6,13
1,2,3,4,5,11,12
1,2,3,4,5,12,13
1,2,3,4,5,12,17
1,2,3,4,5,12,18
1,2,3,4,6,11,12
1,2,3,4,9,10,11
1,2,3,4,9,14,15
1,2,3,4,10,11,12
1,2,3,4,10,11,15
1,2,3,4,10,11,17
1,2,3,4,10,15,16
1,2,3,4,11,12,13
1,2,3,4,11,12,16
1,2,3,4,11,12,18
1,2,3,4,11,16,20
1,2,3,4,11,16,21
1,2,3,4,11,17,18
1,2,3,4,11,17,21
